,Entry,PLOT,Check,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
142,BS710-8,11094,B,Full,71,2,6,17,3,2,1,1,,,,2020,Snyder,2,19,Winter DH Germination
143,BS710-9,11095,B,Full,72,1,12,15,2,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
144,BS710-9,11095,B,Full,72,2,11,14,4,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
145,BS710-12,11098,B,Half,73,1,15,12,1,1,0,1,,,,2020,Snyder,2,19,Winter DH Germination
146,BS710-12,11098,B,Half,73,2,17,13,0,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
147,Check 1-Flavia,11100,C,Full,74,2,5,18,5,1,0,1,,,,2020,Snyder,2,19,Winter DH Germination
148,Check 1-Flavia,11100,C,Full,74,1,7,20,2,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
149,BS710-21,11112,B,Full,75,1,0,5,5,5,7,8,,,,2020,Snyder,2,19,Winter DH Germination
150,BS710-21,11112,B,Full,75,2,0,2,4,5,8,11,,,,2020,Snyder,2,19,Winter DH Germination
151,BS710-23,11114,B,Full,76,1,0,3,3,7,6,11,,,,2020,Snyder,2,19,Winter DH Germination
152,BS710-23,11114,B,Full,76,2,0,3,9,8,4,8,,,,2020,Snyder,2,19,Winter DH Germination
153,BS710-27,11118,B,Full,77,1,0,1,6,7,7,11,,,,2020,Snyder,2,19,Winter DH Germination
154,BS710-27,11118,B,Full,77,2,0,2,4,6,10,8,,,,2020,Snyder,2,19,Winter DH Germination
155,BS710-29,11120,B,Half,78,1,0,3,8,10,2,7,,,,2020,Snyder,2,19,Winter DH Germination
156,BS710-29,11120,B,Half,78,2,1,1,4,9,6,9,,,,2020,Snyder,2,19,Winter DH Germination
157,BS710-30,11121,B,Full,79,1,8,21,1,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
158,BS710-30,11121,B,Full,79,2,2,27,0,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
159,BS710-31,11122,B,Half,80,1,9,16,3,1,0,1,,,,2020,Snyder,2,19,Winter DH Germination
160,BS710-31,11122,B,Half,80,2,3,19,5,0,1,2,,,,2020,Snyder,2,19,Winter DH Germination
161,BS710-32,11123,B,Half,81,1,9,15,4,1,0,1,,,,2020,Snyder,2,19,Winter DH Germination
162,BS710-32,11123,B,Half,81,2,7,10,3,0,0,5,,,,2020,Snyder,2,19,Winter DH Germination
163,BS710-33,11124,B,Full,82,1,10,19,2,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
164,BS710-33,11124,B,Full,82,2,11,17,2,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
165,BS710-35,11126,B,Half,83,1,7,18,2,0,2,1,,,,2020,Snyder,2,19,Winter DH Germination
166,BS710-35,11126,B,Half,83,2,3,20,6,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
167,BS710-36,11127,B,Half,84,1,10,18,1,0,0,1,,,,2020,Snyder,2,19,Winter DH Germination
168,BS710-36,11127,B,Half,84,2,11,17,1,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
169,BS710-39,11130,B,Half,85,1,11,16,2,0,0,1,1,,,2020,Snyder,2,19,Winter DH Germination
170,BS710-39,11130,B,Half,85,2,12,16,1,1,0,0,,,,2020,Snyder,2,19,Winter DH Germination
171,BS710-41,11132,B,Full,86,1,0,2,5,7,5,11,,,,2020,Snyder,2,19,Winter DH Germination
172,BS710-41,11132,B,Full,86,2,0,4,4,2,6,14,,,,2020,Snyder,2,19,Winter DH Germination
173,BS710-42,11133,B,Half,87,1,1,19,10,0,0,0,,,,2020,Snyder,2,19,Winter DH Germination
174,BS710-42,11133,B,Half,87,2,10,18,0,0,0,2,,,,2020,Snyder,2,19,Winter DH Germination
175,BS710-44,11135,B,Half,88,1,1,8,9,7,4,1,,,,2020,Snyder,2,19,Winter DH Germination
