,Entry,PLOT,Full_sample,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,KernelsLeft,User_Day1_2,User_Day3,User_Day4_5,Mold_kern?,notes
299,BS813-113,11365,Full,261,1,4,7,8,1,2,8,TR,TR,TR,NA,
300,BS813-113,11365,Full,261,2,2,14,5,2,1,6,TR,TR,TR,NA,
301,BS813-115,11367,Full,262,1,0,2,5,4,6,13,TR,TR,TR,NA,
302,BS813-115,11367,Full,262,2,0,0,5,5,9,11,TR,TR,TR,NA,
303,BS813-118,11370,Full,265,1,0,0,4,10,10,6,TR,TR,TR,NA,
304,BS813-118,11370,Full,265,2,0,0,5,10,11,5,TR,TR,TR,NA,
305,BS814-120,11372,Full,267,1,0,0,1,7,11,11,TR,TR,TR,NA,
306,BS814-120,11372,Full,267,2,0,0,1,5,13,11,TR,TR,TR,NA,
307,BS814-121,11373,Full,268,1,0,0,3,4,3,20,TR,TR,TR,NA,
308,BS814-121,11373,Full,268,2,0,0,1,11,10,8,TR,TR,TR,NA,
309,BS814-126,11378,Full,273,1,0,0,3,7,11,9,TR,TR,TR,NA,
310,BS814-126,11378,Full,273,2,0,0,3,4,4,19,TR,TR,TR,NA,
311,BS814-127,11379,Full,274,1,0,11,12,1,3,3,TR,TR,TR,NA,
312,BS814-127,11379,Full,274,2,1,8,11,7,3,0,TR,TR,TR,NA,
313,BS814-130,11382,Full,276,1,0,6,12,5,4,4,TR,TR,TR,NA,
314,BS814-130,11382,Full,276,2,0,8,13,5,2,2,TR,TR,TR,NA,
315,BS814-132,11384,Full,278,1,0,0,3,10,7,10,TR,TR,TR,NA,
316,BS814-132,11384,Full,278,2,0,1,3,7,6,13,TR,TR,TR,NA,
317,BS814-135,11387,Full,281,1,1,10,13,4,0,2,TR,TR,TR,NA,
318,BS814-135,11387,Full,281,2,0,3,21,4,2,0,TR,TR,TR,NA,
319,BS814-138,11390,Full,284,1,0,2,14,5,2,7,TR,TR,TR,NA,
320,BS814-138,11390,Full,284,2,1,10,8,5,4,2,TR,TR,TR,NA,
321,BS814-139,11391,Full,285,1,0,0,3,9,11,7,TR,TR,TR,NA,
