,Entry,PLOT,Full_sample,Check,Sample_ID,replication,Day1Germ,Day2Germ,Day3Germ,Day4Germ,Day5Germ,kernels_remaining,Mold_kern,Cooler,note,Year,Location,Timepoint,PM_at_plating,Experiment
122,Check 6-Charles,11150,Full,C,101,2,22,8,0,0,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
123,BS710-64,11157,Full,B,106,1,0,0,0,0,3,27,NA,,,2020,Snyder,1,5,Winter DH Germination
124,BS710-64,11157,Full,B,106,2,0,0,2,0,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
126,BS710-66,11159,Full,B,107,2,5,11,3,3,1,2,NA,,,2020,Snyder,1,5,Winter DH Germination
125,BS710-66,11159,Full,B,107,1,6,8,11,5,0,0,NA,,,2020,Snyder,1,5,Winter DH Germination
128,BS712-68,11161,Full,B,109,2,0,8,12,4,3,2,NA,,,2020,Snyder,1,5,Winter DH Germination
127,BS712-68,11161,Full,B,109,1,0,11,5,7,3,3,NA,,,2020,Snyder,1,5,Winter DH Germination
130,BS712-69,11162,Full,B,110,2,0,0,1,5,11,14,NA,,,2020,Snyder,1,5,Winter DH Germination
129,BS712-69,11162,Full,B,110,1,0,0,1,7,6,16,NA,,,2020,Snyder,1,5,Winter DH Germination
132,BS712-70,11163,Full,B,111,2,0,1,0,0,2,27,NA,,,2020,Snyder,1,5,Winter DH Germination
131,BS712-70,11163,Full,B,111,1,0,0,1,1,5,23,NA,,,2020,Snyder,1,5,Winter DH Germination
133,BS712-74,11167,Full,B,114,1,1,7,10,5,2,5,NA,,,2020,Snyder,1,5,Winter DH Germination
134,BS712-74,11167,Full,B,114,2,0,2,11,7,8,2,1,,,2020,Snyder,1,5,Winter DH Germination
135,BS713-75,11168,Full,B,115,1,0,0,4,5,4,15,NA,,,2020,Snyder,1,5,Winter DH Germination
136,BS713-75,11168,Full,B,115,2,0,0,3,8,9,10,NA,,,2020,Snyder,1,5,Winter DH Germination
137,BS713-78,11171,Full,B,116,1,0,13,9,3,2,3,NA,,,2020,Snyder,1,5,Winter DH Germination
138,BS713-78,11171,Full,B,116,2,0,14,10,3,3,0,NA,,,2020,Snyder,1,5,Winter DH Germination
140,BS713-84,11177,Full,B,121,2,0,0,1,2,11,15,NA,,,2020,Snyder,1,5,Winter DH Germination
139,BS713-84,11177,Full,B,121,1,0,0,2,8,5,15,NA,,,2020,Snyder,1,5,Winter DH Germination
141,BS713-90,11183,Full,B,124,1,0,0,9,6,5,8,NA,,,2020,Snyder,1,5,Winter DH Germination
142,BS713-90,11183,Full,B,124,2,0,0,5,6,12,7,NA,,,2020,Snyder,1,5,Winter DH Germination
144,BS713-91,11184,Full,B,125,2,0,5,4,5,5,11,NA,,,2020,Snyder,1,5,Winter DH Germination
143,BS713-91,11184,Full,B,125,1,0,0,2,9,9,10,NA,,,2020,Snyder,1,5,Winter DH Germination
145,BS713-93,11186,Full,B,127,1,0,0,2,9,8,12,NA,,,2020,Snyder,1,5,Winter DH Germination
146,BS713-93,11186,Full,B,127,2,0,1,6,11,7,5,NA,,,2020,Snyder,1,5,Winter DH Germination
147,BS713-95,11188,Full,B,129,1,0,0,0,1,4,25,NA,,,2020,Snyder,1,5,Winter DH Germination
148,BS713-95,11188,Full,B,129,2,0,0,0,1,5,24,NA,,,2020,Snyder,1,5,Winter DH Germination
149,BS713-96,11189,Full,B,130,1,0,0,1,7,11,11,NA,,,2020,Snyder,1,5,Winter DH Germination
150,BS713-96,11189,Full,B,130,2,0,0,1,7,9,13,NA,,,2020,Snyder,1,5,Winter DH Germination
152,BS713-98,11191,Full,B,132,2,0,4,10,6,2,7,NA,,,2020,Snyder,1,5,Winter DH Germination
151,BS713-98,11191,Full,B,132,1,0,3,9,7,10,1,NA,,,2020,Snyder,1,5,Winter DH Germination
154,BS713-102,11195,Full,B,135,2,0,0,1,1,4,24,NA,,,2020,Snyder,1,5,Winter DH Germination
153,BS713-102,11195,Full,B,135,1,0,0,1,4,3,22,NA,,,2020,Snyder,1,5,Winter DH Germination
155,BS713-104,11197,Full,B,136,1,0,0,4,10,5,9,NA,,,2020,Snyder,1,5,Winter DH Germination
156,BS713-104,11197,Full,B,136,2,0,0,2,14,6,8,NA,,,2020,Snyder,1,5,Winter DH Germination
157,BS713-106,11199,Full,B,137,1,0,1,4,5,5,14,NA,,,2020,Snyder,1,5,Winter DH Germination
158,BS713-106,11199,Full,B,137,2,0,1,4,6,5,13,NA,,,2020,Snyder,1,5,Winter DH Germination
159,Check 1-Flavia,11200,Full,C,138,1,0,11,12,1,1,5,NA,,,2020,Snyder,1,5,Winter DH Germination
160,Check 1-Flavia,11200,Full,C,138,2,1,2,9,4,5,4,NA,,,2020,Snyder,1,5,Winter DH Germination
162,Check 3-DH130911,11202,Full,C,139,2,0,0,2,4,10,14,1,,,2020,Snyder,1,5,Winter DH Germination
161,Check 3-DH130910,11202,Full,C,139,1,0,0,2,4,5,14,NA,,,2020,Snyder,1,5,Winter DH Germination
163,BS713-108,11206,Full,B,140,1,0,4,4,4,10,8,NA,,,2020,Snyder,1,5,Winter DH Germination
